AÑO,ENTIDAD,CODIGO,NOMBRE,PRESUPUESTO INICIAL,PRESUPUESTO DEFINITIVO,RECAUDO EFECTIVO,RECAUDO SIN SITUACIÓN DE FONDOS,TOTAL INGRESOS,OTRAS DEST - TIENE DOC SOPORTE,OTRAS DEST - NRO DOCUMENTO,OTRAS DEST - % DESTINACIÓN,OTRAS DEST - VALOR DESTINACIÓN
2016,Balboa - Risaralda,TI.A.2.6.2.1.1,SISTEMA GENERAL DE PARTICIPACIONES,2795744,3129753,1817148,1275124,3092272,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.1,SISTEMA GENERAL DE PARTICIPACIONES -EDUCACIÓN,256106,265126,227433,0,227433,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.1.4,S. G. P. EDUCACIÓN -RECURSOS DE CALIDAD,256106,265126,227433,0,227433,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.1.4.1,CALIDAD POR MATRÍCULA OFICIAL,143763,143763,106070,0,106070,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.1.4.2,CALIDAD POR GRATUIDAD (SIN SITUACIÓN DE FONDOS),112343,121363,121363,0,121363,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.2,SISTEMA GENERAL DE PARTICIPACIONES -SALUD-,1309245,1411286,136161,1275124,1411285,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.2.1,S. G. P. SALUD - RÉGIMEN SUBSIDIADO,1182965,1275124,0,1275124,1275124,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.2.1.1,S. G. P. SALUD - RÉGIMEN SUBSIDIADO CONTINUIDAD,1182965,1275124,0,1275124,1275124,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.2.2,S. G. P. SALUD - SALUD PUBLICA,47439,57903,57903,0,57903,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.2.3,S. G. P. SALUD - PRESTACIÓN DE SERVICIOS A LA POBLACIÓN POBRE EN LO NO CUBIERTO CON SUBSIDIOS A LA DEMANDA Y ACTIVIDADES NO CUBIERTAS CON SUBSIDIOS A LA DEMANDA,1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.2.4,S. G. P. SALUD - APORTES PATRONALES (SIN SITUACIÓN DE FONDOS) ,78840,78258,78258,0,78258,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.4,SISTEMA GENERAL DE PARTICIPACIONES ALIMENTACIÓN ESCOLAR,22485,22223,22437,0,22437,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.5,S.G.P  AGUA POTABLE Y SANEAMIENTO BÁSICO,337529,358115,358115,0,358115,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.5.1,S.G.P  AGUA POTABLE Y SANEAMIENTO BÁSICO,337529,358115,358115,0,358115,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.6,S.G.P. POR CRECIMIENTO DE LA ECONOMÍA,1,18659,18658,0,18658,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.6.1,PRIMERA INFANCIA,1,18659,18658,0,18658,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.7,SISTEMA GENERAL FORZOSA INVERSIÓN DE PARTICIPACIÓN PROPÓSITO GENERAL,870378,1054344,1054344,0,1054344,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.7.1,DEPORTE Y RECREACIÓN,44441,52443,52443,0,52443,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.7.2,CULTURA,33331,39332,39332,0,39332,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.1.7.4,RESTO LIBRE INVERSIÓN(INCLUYE RECURSOS DE LIBRE INVERSIÓN MUNICIPIOS MENORES DE 25000 HABITANTES),792606,962569,962569,0,962569,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.3,FONDO DE SOLIDARIDAD Y GARANTÍAS -FOSYGA-,1759851,1703902,0,1618620,1618620,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.3.1,FOSYGA RÉGIMEN SUBSIDIADO OPERACIÓN CORRIENTE,1759851,1703902,0,1618620,1618620,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.4,"COLJUEGOS 75 % - INVERSIÓN EN SALUD. ( LEY 643 DE 2001, LEY 1122 DE 2007 Y LEY 1151 DE 2007 )",16309,20496,20496,0,20496,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.8,OTRAS TRANSFERENCIAS DEL NIVEL NACIONAL PARA INVERSIÓN,1,33001,180000,0,180000,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1.8.90,EN OTROS SECTORES,1,33001,180000,0,180000,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.2,DEL NIVEL DEPARTAMENTAL,155002,448660,266600,0,266600,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.2.10,OTRAS TRANSFERENCIAS DEL NIVEL DEPARTAMENTAL PARA INVERSIÓN,155002,448660,266600,0,266600,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.5,SECTOR DESCENTRALIZADO,1,1,0,0,0,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.5.2,DEPARTAMENTAL,1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.7,OTROS INGRESOS NO TRIBUTARIOS,38134,64024,64169,0,64169,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.7.10,OTROS NO TRIBUTARIOS,38134,64024,64169,0,64169,No,NA,0,0
2016,Balboa - Risaralda,TI.B,INGRESOS DE CAPITAL,147994,2986973,2935055,0,2935055,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.1,COFINANCIACIÓN,2,2070677,2070674,0,2070674,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.1.1,COFINANCIACIÓN NACIONAL - NIVEL CENTRAL,1,1050627,1050625,0,1050625,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.1.1.5,PROGRAMAS OTROS SECTORES,1,1050627,1050625,0,1050625,No,NA,0,0
2016,Balboa - Risaralda,TI.B.1.3,COFINANCIACIÓN MUNICIPAL - NIVEL CENTRAL,1,1020050,1020049,0,1020049,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.1.3.5,PROGRAMAS OTROS SECTORES,1,1020050,1020049,0,1020049,No,NA,0,0
2016,Balboa - Risaralda,TI.B.10,RETIROS FONPET,0,297216,297216,0,297216,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.10.2,RETIRO DE RECURSOS POR LOTO ÚNICO NACIONAL,0,297216,297216,0,297216,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.10.2.3,RETIRO PARA PARA INVERSIÓN EN RÉGIMEN SUBSIDIADO. SIN SITUACIÓN DE FONDOS.,0,297216,297216,0,297216,No,NA,0,0
2016,Balboa - Risaralda,TI.B.13,REINTEGROS,2,2,0,0,0,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.13.10,OTROS REINTEGROS,1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.B.13.12,REINTEGROS PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD,1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.B.4,RECURSOS DEL CRÉDITO,3,3,0,0,0,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.4.1,INTERNO,3,3,0,0,0,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.4.1.3,INSTITUTOS DE DESARROLLO DEPARTAMENTAL Y/O MUNICIPAL,2,2,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.B.4.1.7,CRÉDITO DE LA NACIÓN SUSCEPTIBLE DE CONDONACIÓN,1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6,RECURSOS DEL BALANCE,147979,613711,561806,0,561806,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.1,CANCELACIÓN DE RESERVAS,90001,95568,95567,0,95567,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.1.2,DE SGP,2,5569,5567,0,5567,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.1.2.2,CANCELACIÓN DE RESERVAS - SALUD,2,5569,5567,0,5567,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.1.2.2.3,RECURSOS DE FORZOSA INVERSIÓN - SALUD: PRESTACIÓN DEL SERVICIO A LA POBLACIÓN POBRE NO AFILIADA,1,31,30,0,30,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6.1.2.2.4,RECURSOS DE FORZOSA INVERSIÓN - SALUD: OTROS DIFERENTES A LOS ANTERIORES CON DESTINO A SALUD,1,5538,5537,0,5537,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6.1.3,DE OTROS RECURSOS,89999,89999,90000,0,90000,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6.2,SUPERÁVIT FISCAL,57978,518143,466239,0,466239,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.2.1,SUPERÁVIT FISCAL DE LA VIGENCIA ANTERIOR,57978,518143,466239,0,466239,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.1,RECURSOS DE LIBRE DESTINACIÓN ,7975,118556,116654,0,116654,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.1.1,"SGP PROPÓSITO GENERAL RECURSOS DE LIBRE DESTINACIÓN 42% MUNICIPIOS DE 4, 5 Y 6 CATEGORÍA. ",1,5409,5409,0,5409,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.1.3,INGRESOS CORRIENTES DE LIBRE DESTINACIÓN DIFERENTES A LA PARTICIPACIÓN DE LIBRE DESTINACIÓN PROPÓSITO GENERAL,7974,113147,111245,0,111245,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.2,RECURSOS DE FORZOSA INVERSIÓN (CON DESTINACIÓN ESPECIFICA),50003,399587,349585,0,349585,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.2.1,RECURSOS DE FORZOSA INVERSIÓN SGP (CON DESTINACIÓN ESPECÍFICA),50002,324592,274591,0,274591,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.2.1.2,RECURSOS DE FORZOSA INVERSIÓN - SALUD,2,66043,66043,0,66043,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.2.1.2.1,RECURSOS DE FORZOSA INVERSIÓN - SALUD: RÉGIMEN SUBSIDIADO,1,57887,57887,0,57887,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.2.1.2.2,RECURSOS DE FORZOSA INVERSIÓN - SALUD:  PÚBLICA,1,8156,8156,0,8156,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.2.1.7,RECURSOS DE FORZOSA INVERSIÓN PROPÓSITO GENERAL,50000,258549,208548,0,208548,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.2.1.7.7,RESTO LIBRE INVERSIÓN,50000,258549,208548,0,208548,No,NA,0,0
2016,Balboa - Risaralda,TI.B.6.2.1.2.9,OTROS RECURSOS DE FORZOSA INVERSIÓN DIFERENTES AL SGP (CON DESTINACIÓN ESPECÍFICA),1,74995,74994,0,74994,No,NA,0,0
2016,Balboa - Risaralda,TI.B.7,VENTA DE ACTIVOS,1,1,0,0,0,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.7.1,AL SECTOR PÚBLICO,1,1,0,0,0,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.7.1.7," OTROS ACTIVOS  (COMO EQUIPOS, MOBILIARIOS, SEMOVIENTES, PATENTES, ETC.)",1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.B.8,RENDIMIENTOS POR OPERACIONES FINANCIERAS,6,5362,5359,0,5359,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.8.1,PROVENIENTES DE RECURSOS LIBRE DESTINACIÓN,2,4409,4408,0,4408,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.8.1.1,"SGP PROPÓSITO GENERAL RECURSOS DE LIBRE DESTINACIÓN 42% MUNICIPIOS DE 4, 5 Y 6 CATEGORÍA. ",1,4408,4408,0,4408,No,NA,0,0
2016,Balboa - Risaralda,TI.B.8.1.3,INGRESOS CORRIENTES DE LIBRE DESTINACIÓN DIFERENTES A LA PARTICIPACIÓN DE LIBRE DESTINACIÓN PROPÓSITO GENERAL:,1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.B.8.2,PROVENIENTES DE RECURSOS CON DESTINACIÓN ESPECIFICA,4,953,951,0,951,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.8.2.1,PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA,4,953,951,0,951,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.8.2.1.2,PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD,4,953,951,0,951,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.8.2.1.2.1,PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD: RÉGIMEN SUBSIDIADO,1,629,629,0,629,No,NA,0,0
2016,Balboa - Risaralda,TI.B.8.2.1.2.2,PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD:  PÚBLICA,1,322,322,0,322,No,NA,0,0
2016,Balboa - Risaralda,TI.B.8.2.1.2.3,"RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD, SERVICIOS A LA POBLACIÓN POBRE NO AFILIADA",1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.B.8.2.1.2.4,RENDIMIENTOS OTROS DIFERENTES A LOS ANTERIORES CON DESTINO A SALUD,1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.B.9,DONACIONES,1,1,0,0,0,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.B.9.3,DE ENTIDADES PRIVADAS,1,1,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,VAL,INGRESOS TOTALES,7560325,12577030,9709751,2893744,12603495,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.24,DEGÜELLO DE GANADO MAYOR,0,463661.371,445127.49,0,445127.49,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.26,SOBRETASA A LA GASOLINA,9618018,11022993.915,11942325,0,11942325,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.28,ESTAMPILLAS,15045588,19477318.245,23180737.411,0,23180737.411,No,No Aplica,0,0
2016,Departamento de Risaralda,TI,INGRESOS TOTALES,309350179.613,425257210.379,396821211.231,40635491.238,437456702.469,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A,INGRESOS CORRIENTES,304918241.691,346735687.905,319649768.823,39569024.238,359218793.061,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1,TRIBUTARIOS ,116721955.153,136987814.392,146245597.168,0,146245597.168,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.11,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,1045257,1045257,940517,0,940517,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.12,IMPUESTO DE LOTERÍAS FORÁNEAS,616888,616888,729124,0,729124,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.13,IMPUESTO DE REGISTRO,19179036,20670206.141,22758720.891,0,22758720.891,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.14,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",1105703,1878492,1867926.29,0,1867926.29,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.14.1,IMPUESTO AL CONSUMO DE LICORES,1105703,1878492,1867926.29,0,1867926.29,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.14.1.1,IMPUESTO AL CONSUMO DE LICORES DE LIBRE DESTINACIÓN,1105703,1878492,1867926.29,0,1867926.29,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.14.1.1.2,IMPUESTO AL CONSUMO DE LICORES DE LIBRE DESTINACIÓN DE PRODUCCIÓN NACIONAL,375149,868754,762582.71,0,762582.71,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.14.1.1.3,IMPUESTO AL CONSUMO DE LICORES DE LIBRE DESTINACIÓN DE PRODUCCIÓN EXTRANJERA,730554,1009738,1105343.58,0,1105343.58,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.15,"DESAGREGACIÓN IVA LICORES, VINOS APERITIVOS Y SIMILARES",9960331.153,11595006.153,12564367.984,0,12564367.984,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.15.1,"IVA LICORES, VINOS, APERITIVOS Y SIMILARES - SALUD",9535394,11170069,11850379,0,11850379,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.15.2,"IVA LICORES, VINOS APERITIVOS Y SIMILARES - DEPORTE",424937.153,424937.153,713988.984,0,713988.984,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.16,IMPUESTO AL CONSUMO CERVEZA,19212214,20940693,21619613.667,0,21619613.667,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.16.1,IMPUESTO AL CONSUMO CERVEZA DE PRODUCCIÓN NACIONAL,18881764,20378317,21101319.667,0,21101319.667,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.16.2,IMPUESTO AL CONSUMO CERVEZA DE PRODUCCIÓN EXTRANJERA,330450,562376,518294,0,518294,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.17,IMPUESTO AL CONSUMO CON DESTINO A SALUD / CERVEZA SALUD,3842443,4188139,4320413,0,4320413,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.17.1,IMPUESTO AL CONSUMO CON DESTINO A SALUD / CERVEZA SALUD DE PRODUCCIÓN NACIONAL,3776353,4075663,4216753,0,4216753,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.17.2,IMPUESTO AL CONSUMO CON DESTINO A SALUD / CERVEZA SALUD DE PRODUCCIÓN EXTRANJERA,66090,112476,103660,0,103660,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.18,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,20094167,20111243.68,20998695,0,20998695,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.18.1,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO DE LIBRE DESTINACIÓN,13011706,13022561,13434195,0,13434195,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.18.1.1,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO DE LIBRE DESTINACIÓN DE PRODUCCIÓN NACIONAL,12507172,9518027,9617303,0,9617303,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.18.1.2,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO DE LIBRE DESTINACIÓN DE PRODUCCIÓN EXTRANJERA,504534,3504534,3816892,0,3816892,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.18.2,IMPUESTO AL CONSUMO CON DESTINO A SALUD / SOBRETASA AL CONSUMO DE CIGARRILLO Y TABACO,4604041,4608195,5005608,0,5005608,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.18.2.1,IMPUESTO AL CONSUMO CON DESTINO A SALUD / SOBRETASA AL CONSUMO DE CIGARRILLO Y TABACO DE PRODUCTOS NACIONALES,4515525,3256429,3631966,0,3631966,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.18.2.2,IMPUESTO AL CONSUMO CON DESTINO A SALUD / SOBRETASA AL CONSUMO DE CIGARRILLO Y TABACO DE PRODUCTOS EXTRANJEROS,88516,1351766,1373642,0,1373642,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.18.3,IMPUESTO CON DESTINO AL DEPORTE LEY 181 DE 1995,2478420,2480487.68,2558892,0,2558892,No,No Aplica,0,0
2016,Departamento de Risaralda,TI.A.1.18.3.1,IMPUESTO CON DESTINO AL DEPORTE LEY 181 DE 1995 DE PRODUCTOS NACIONALES,2382318,1904385.68,1831865,0,1831865,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.18.3.2,IMPUESTO CON DESTINO AL DEPORTE LEY 181 DE 1995 DE PRODUCTOS EXTRANJEROS,96102,576102,727027,0,727027,No,NA,0,0
2016,Departamento de Risaralda,TI.A.1.2,VEHÍCULOS AUTOMOTORES,17002310,24977915.887,24878029.435,0,24878029.435,No,No Aplica,0,0
